"employess","random_salaries","salary_adjust","salary_2018","got_raise"
"Employee 1",42629.9040112644,2232.4478381779,44862.3518494423,TRUE
"Employee 2",45204.2606472969,8063.1342343986,53267.3948816955,TRUE
"Employee 3",47077.7403144166,-3922.80032509007,43154.9399893265,FALSE
"Employee 4",44562.1231454425,6113.73094026931,50675.8540857118,TRUE
"Employee 5",46173.1042945758,-4534.26380408928,41638.8404904865,FALSE
"Employee 6",48749.4587572291,909.345486434177,49658.8042436633,TRUE
"Employee 7",44583.3607274108,5799.30976382457,50382.6704912353,TRUE
"Employee 8",40174.8086791486,4765.52774314769,44940.3364222962,TRUE
"Employee 9",44892.0485028066,-3381.52791955508,41510.5205832515,FALSE
"Employee 10",41848.7234576605,7683.81254049018,49532.5359981507,TRUE
"Employee 11",44479.9932581373,-4281.89043421298,40198.1028239243,FALSE
"Employee 12",49638.760832604,-2376.5488807112,47262.2119518928,FALSE
"Employee 13",49309.3063496053,881.815170869231,50191.1215204746,TRUE
"Employee 14",44004.988220986,6082.32960337773,50087.3178243637,TRUE
"Employee 15",49818.2928166352,-1208.95288069732,48609.3399359379,FALSE
"Employee 16",49169.0102638677,7100.19301390275,56269.2032777704,TRUE
"Employee 17",48054.0708336048,-995.838152011856,47058.2326815929,FALSE
"Employee 18",48841.5262149647,7153.67982746102,55995.2060424257,TRUE
"Employee 19",48264.4834066741,-1094.39598512836,47170.0874215458,FALSE
"Employee 20",45066.0985149443,-4247.3306634929,40818.7678514514,FALSE
"Employee 21",44470.3578134067,-4032.13925193995,40438.2185614668,FALSE
"Employee 22",43257.4683777057,972.689233021811,44230.1576107275,TRUE
"Employee 23",45558.6265260354,7283.04948075674,52841.6760067921,TRUE
"Employee 24",44396.0910942405,9272.50742795877,53668.5985221993,TRUE
"Employee 25",48554.2550147511,-3084.02044931427,45470.2345654368,FALSE
"Employee 26",46049.257372506,6487.10931651294,52536.3666890189,TRUE
"Employee 27",40042.7302578464,8137.80594151467,48180.5361993611,TRUE
"Employee 28",40916.2428299896,-659.080048790202,40257.1627811994,FALSE
"Employee 29",44489.9535691366,7123.54884832166,51613.5024174582,TRUE
"Employee 30",41125.765054021,-4264.05184785835,36861.7132061627,FALSE
"Employee 31",49254.5369826257,-531.262696022168,48723.2742866036,FALSE
"Employee 32",44704.3655323796,-2887.18171417713,41817.1838182025,FALSE
"Employee 33",40889.9913961068,479.166001314297,41369.1573974211,TRUE
"Employee 34",43016.0445161164,4190.07022399455,47206.1147401109,TRUE
"Employee 35",49482.5894129463,7317.22370837815,56799.8131213244,TRUE
"Employee 36",42683.5098071024,1582.81326992437,44266.3230770268,TRUE
"Employee 37",44511.4969462156,6794.5929558482,51306.0899020638,TRUE
"Employee 38",49513.5014783591,972.734006354585,50486.2354847137,TRUE
"Employee 39",42363.4657007642,-952.381668612361,41411.0840321518,FALSE
"Employee 40",47671.3025034405,2109.71391061321,49781.0164140537,TRUE
"Employee 41",41840.1058553718,9558.55565611273,51398.6615114845,TRUE
"Employee 42",43585.3723599575,3733.48070657812,47318.8530665357,TRUE
"Employee 43",40824.8296030797,2359.96875795536,43184.7983610351,TRUE
"Employee 44",43041.8364703655,-519.216130487621,42522.6203398779,FALSE
"Employee 45",49029.5174834318,-4138.40655004606,44891.1109333858,FALSE
"Employee 46",46356.2275120057,2666.37457185425,49022.60208386,TRUE
"Employee 47",49076.5334968455,3177.60652629659,52254.1400231421,TRUE
"Employee 48",49330.6072452106,1398.41318479739,50729.0204300079,TRUE
"Employee 49",41526.2756985612,-4091.06040955521,37435.215289006,FALSE
"Employee 50",49604.9937861972,-924.857010832056,48680.1367753651,FALSE
"Employee 51",46793.8345717266,-86.7046567145735,46707.129915012,FALSE
"Employee 52",44596.5549745597,8744.47600566782,53341.0309802275,TRUE
"Employee 53",41900.7884245366,3497.84519756213,45398.6336220987,TRUE
"Employee 54",45570.9180771373,6968.0873292964,52539.0054064337,TRUE
"Employee 55",46893.5023457743,5496.98935588822,52390.4917016625,TRUE
"Employee 56",44044.0652379766,-2004.9560838379,42039.1091541387,FALSE
"Employee 57",40784.0953581035,-1784.06736347824,39000.0279946253,FALSE
"Employee 58",41825.1954461448,-2349.60269299336,39475.5927531514,FALSE
"Employee 59",43331.7930833437,3911.39755723998,47243.1906405836,TRUE
"Employee 60",44046.7051556334,-1864.12885435857,42182.5763012748,FALSE
"Employee 61",49674.5703485794,2070.75141952373,51745.3217681032,TRUE
"Employee 62",46076.9895208068,7247.59245174937,53324.5819725562,TRUE
"Employee 63",41551.7015033402,1225.50422442146,42777.2057277616,TRUE
"Employee 64",42236.4312782884,3503.36735602468,45739.798634313,TRUE
"Employee 65",48505.1417001523,5580.04505117424,54085.1867513265,TRUE
"Employee 66",43997.3299764097,3292.51253511757,47289.8425115272,TRUE
"Employee 67",42850.1644777134,1551.53201427311,44401.6964919865,TRUE
"Employee 68",44177.2276093252,-1999.44502790459,42177.7825814206,FALSE
"Employee 69",46599.6474679559,-3126.79654569365,43472.8509222623,FALSE
"Employee 70",46884.4321998768,-4514.99964459799,42369.4325552788,FALSE
"Employee 71",47772.0231609419,3884.17119393125,51656.1943548732,TRUE
"Employee 72",43905.9845777228,9354.40923203714,53260.39380976,TRUE
"Employee 73",49436.6076798178,2640.28512989171,52076.8928097095,TRUE
"Employee 74",43791.5895925835,-2464.81498004869,41326.7746125348,FALSE
"Employee 75",47374.171372503,6223.37213600986,53597.5435085129,TRUE
"Employee 76",48544.3834401667,-2733.34701778367,45811.036422383,FALSE
"Employee 77",48471.2781314738,9904.62719579227,58375.9053272661,TRUE
